               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086047,             0.16426,            0.012644,             0.62883,             0.53704,             0.57404,             0.25845,             0.06604,             0.11681,           0.0053973,           0.0033227,           0.0033227,            0.070096
                   1,             0.07088,             0.16334,           0.0063485,             0.78587,             0.58002,             0.66834,             0.32561,            0.060753,             0.11793,           0.0046659,           0.0062167,           0.0062167,            0.039657
                   2,            0.066547,             0.16282,           0.0057679,             0.76965,             0.59291,             0.67247,             0.33033,            0.059833,             0.12259,           0.0044139,           0.0086708,           0.0086708,           0.0087773
                   3,            0.064297,             0.16317,           0.0055011,             0.80586,             0.61061,             0.69489,             0.36337,            0.057344,             0.11541,           0.0041527,             0.00802,             0.00802,             0.00802
                   4,            0.063071,             0.16125,           0.0052782,             0.78466,             0.61501,             0.69442,             0.36653,            0.056786,             0.11512,           0.0040393,             0.00802,             0.00802,             0.00802
                   5,            0.062125,             0.16098,           0.0050939,              0.8119,              0.6115,              0.7034,             0.37985,            0.055972,             0.11311,           0.0038536,             0.00736,             0.00736,             0.00736
                   6,            0.061552,             0.15938,            0.004986,             0.80692,             0.63324,             0.71744,             0.38745,            0.055613,             0.11333,           0.0039428,              0.0067,              0.0067,              0.0067
                   7,            0.060897,             0.15761,           0.0048739,             0.82689,             0.63202,             0.72437,             0.39884,            0.054845,             0.11149,            0.003702,             0.00604,             0.00604,             0.00604
                   8,            0.060528,             0.15686,           0.0047949,             0.82903,              0.6382,              0.7269,             0.40472,            0.054343,              0.1105,           0.0036246,             0.00538,             0.00538,             0.00538
                   9,            0.059846,             0.15545,           0.0047172,              0.8302,             0.64453,             0.73336,             0.41043,            0.054076,             0.10984,           0.0036932,             0.00472,             0.00472,             0.00472
                  10,            0.059644,               0.155,           0.0046392,             0.83523,             0.64229,             0.73452,             0.41233,            0.053878,             0.10939,           0.0035389,             0.00406,             0.00406,             0.00406
                  11,            0.059329,             0.15495,           0.0046644,             0.84701,             0.64669,             0.74046,             0.41884,            0.053413,             0.10928,           0.0034878,              0.0034,              0.0034,              0.0034
                  12,            0.058942,             0.15375,           0.0045398,             0.83916,             0.65403,             0.74326,              0.4238,            0.053099,             0.10841,           0.0034498,             0.00274,             0.00274,             0.00274
                  13,            0.058978,              0.1529,           0.0045743,              0.8365,             0.66199,             0.74784,             0.42906,            0.052787,             0.10751,           0.0034215,             0.00208,             0.00208,             0.00208
                  14,            0.058576,             0.15212,           0.0044968,             0.84065,              0.6619,             0.74955,             0.43035,            0.052669,             0.10751,           0.0034028,             0.00142,             0.00142,             0.00142
